Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,image,video
6131084,Julien Baker,Sprained Ankle ,6131 Records,"LP, Album, RP, 180",5,2017,10105639,Uncategorized,8/19/17 14:06, https://img.discogs.com/omVDcifhRmbT3rNnsPPD1fXIqig=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-10105639-1491701050-6735.jpeg.jpg,https://www.youtube.com/watch?v=0cVFyzUV6ak
AKR099,Sufjan Stevens,Carrie & Lowell,Asthmatic Kitty Records,"LP, Album",,2015,6549215,Uncategorized,1/4/17 15:45, https://img.discogs.com/XESzXQW2GvHAPpgfWDYiMylBdkY=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-6549215-1421819102-7567.jpeg.jpg,https://www.youtube.com/watch?v=lJJT00wqlOo
"AKR014, none",Sufjan Stevens,Illinois,"Asthmatic Kitty Records, Sounds Familyre","2xLP, Album, RP",,2005,649042,Uncategorized,2/14/17 18:35, https://img.discogs.com/qeLXol-OQBPMSsN2pcPcUVJ0SuE=/fit-in/600x597/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-649042-1303171690.jpeg.jpg,https://www.youtube.com/watch?v=xxMYqsvgX8c
549951-1,Young Thug (2),Barter 6,"Atlantic, 300 Entertainment","2xLP, Album, Gat",,2016,8066727,Uncategorized,1/4/17 15:52, https://img.discogs.com/9PTlDeCoyD2L38aqejtNICXC6yA=/fit-in/480x480/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-8066727-1454503065-8782.jpeg.jpg,https://www.youtube.com/watch?v=RAzzv6Ks9nc
BSR-13968,Devo,Theme From Doctor Detroit,Backstreet Records,"12""",,1983,578894,Uncategorized,1/12/17 14:55, https://img.discogs.com/ehElljwqwVZrKTnYwLAhhiwOA-4=/fit-in/600x589/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-578894-1390091189-8150.jpeg.jpg,https://www.youtube.com/watch?v=qqr0BEzmRXY
BBE LP 076,J Dilla,The Shining,BBE,"2xLP, Album, Gat",,2006,758436,Uncategorized,6/10/17 9:42, https://img.discogs.com/wyIPB1J5SKDjiheiiuXnROUwl6A=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-758436-1249518571.png.jpg,https://www.youtube.com/watch?v=2ujXj-uCeiE
BF050,Kamasi Washington,The Epic,Brainfeeder,"3xLP, 180 + Box, Album",,2015,7383499,Uncategorized,5/3/17 10:40, https://img.discogs.com/bSQoNIWeqrRIFRasF0kHtQCtn48=/fit-in/577x524/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7383499-1440327248-5527.jpeg.jpg,https://www.youtube.com/watch?v=NtQRBzSN9Vw
SJ-383,The Beatles,Abbey Road,Capitol Records,"LP, Album, RE,  ",,1984,1436340,Uncategorized,1/29/17 21:01, https://img.discogs.com/H2Wr2KU2l9H8NoCU4ueqd9XvUxc=/fit-in/500x500/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1436340-1287256958.jpeg.jpg,https://www.youtube.com/watch?v=6qrDlRsARwk
"SMAL-2835, SMAL 2835, 2835",The Beatles,Magical Mystery Tour,"Capitol Records, Capitol Records, Capitol Records","LP, Album, Los",,1967,464292,Uncategorized,1/4/17 15:27, https://img.discogs.com/fhKeGE6mBCdFqmvDNOUrr31IKqc=/fit-in/600x604/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-464292-1434665238-3702.jpeg.jpg,https://www.youtube.com/watch?v=FSV_vXeXhHA
CT-164,Mac DeMarco,2,Captured Tracks,"LP, Album",,2012,3964901,Uncategorized,8/11/17 15:24, https://img.discogs.com/mZh29uy0-KsMc8ZJ-EJ8Su0pnKQ=/fit-in/600x601/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3964901-1504993822-2799.jpeg.jpg,https://www.youtube.com/watch?v=_R3B2Xr8kwQ
