id,position,track
10105639,A1,"Blacktop"
10105639,A2,"Sprained Ankle"
10105639,A3,"Brittle Boned"
10105639,A4,"Everybody Does"
10105639,A5,"Good News"
10105639,B1,"Something"
10105639,B2,"Rejoice"
10105639,B3,"Vessels"
10105639,B4,"Go Home"
6549215,A1,"Death With Dignity"
6549215,A2,"Should Have Known Better"
6549215,A3,"All Of Me Wants All Of You"
6549215,A4,"Drawn To The Blood"
6549215,A5,"Fourth of July"
6549215,B1,"The Only Thing"
6549215,B2,"Carrie & Lowell"
6549215,B3,"Eugene"
6549215,B4,"John My Beloved"
6549215,B5,"No Shade In The Shadow Of The Cross"
6549215,B6,"Blue Bucket Of Gold"
649042,A1,"Concerning The UFO Sighting Near Highland, Illinois"
649042,A2,"The Black Hawk War, Or, How To Demolish An Entire Civilization And Still Feel Good About Yourself In The Morning, Or, We Apologize For The Inconvenience But You're Going To Have To Leave Now, Or, "I Have Fought The Big Knives And Will Continue To Fight Them Until They Are Off Our Lands!""
649042,A3,"Come On! Feel The Illinoise! Part I: The World's Columbian Exposition Part II: Carl Sandburg Visits Me In A Dream"
649042,A4,"John Wayne Gacy, Jr."
649042,A5,"Jacksonville"
649042,A6,"A Short Reprise For Mary Todd, Who Went Insane, But For Very Good Reasons"
649042,B1,"Decatur, Or, Round Of Applause For Your Stepmother!"
649042,B2,"One Last "Whoo-Hoo!" For The Pullman"
649042,B3,"Chicago"
649042,B4,"Casimir Pulaski Day"
649042,B5,"To The Workers Of The Rock River Valley Region, I Have An Idea Concerning Your Predicament"
649042,C1,"The Man Of Metropolis Steals Our Hearts"
649042,C2,"Prairie Fire That Wanders About"
649042,C3,"A Conjunction Of Drones Simulating The Way In Which Sufjan Stevens Has An Existential Crisis In The Great Godfrey Maze"
649042,C4,"The Predatory Wasp Of The Palisades Is Out To Get Us!"
649042,C5,"They Are Night Zombies!! They Are Neighbors!! They Have Come Back From The Dead!! Ahhhh!"
649042,C6,"Let's Hear That String Part Again, Because I Don't Think They Heard It All The Way Out In Bushnell"
649042,C7,"In This Temple As In The Hearts Of Man For Whom He Saved The Earth"
649042,D1,"The Seer's Tower"
649042,D2,"The Tallest Man, The Broadest Shoulders Part 1: The Great Frontier Part II: Come To Me Only With Playthings Now"
649042,D3,"Riffs And Variations On A Single Note For Jelly Roll, Earl Hines, Louis Armstrong, Baby Dodds, And The King Of Swing, To Name A Few"
649042,D4,"Out Of Egypt, Into The Great Laugh Of Mankind, And I Shake The Dirt From My Sandals As I Run"
649042,D5,"The Ava Lanche"
8066727,A1,"Constantly Hating ft. Birdman (2)"
8066727,A2,"With That ft. MPA Duke"
8066727,A3,"Can't Tell ft. T.I."
8066727,B1,"Check"
8066727,B2,"Never Had it ft. Young Dolph"
8066727,B3,"Dream ft. Yak Gotti"
8066727,B4,"Dome ft. Duke"
8066727,C1,"Halftime"
8066727,C2,"Amazing ft. Jacquees"
8066727,C3,"Knocked Off ft. Birdman (2)"
8066727,D1,"OD"
8066727,D2,"Numbers"
8066727,D3,"Just Might be"
578894,A,"Theme From Doctor Detroit (Dance Mix)"
578894,B1,"Luv - Luv"
578894,B2,"Theme From Doctor Detroit"
758436,A1,"Geek Down ft. Busta Rhymes"
758436,A2,"E=MC2 ft. Common"
758436,A3,"Love Jones"
758436,B1,"Love ft. Pharoahe Monch"
758436,B2,"Baby ft. Guilty Simpson"
758436,B3,"So Far To Go ft. D'Angelo"
758436,C1,"Jungle Love ft. Medaphoar"
758436,C2,"Over The Breaks"
758436,C3,"Body Movin'"
758436,D1,"Dime Piece (Remix) ft. Dwele"
758436,D2,"Love Movin' ft. Black Thought"
758436,D3,"Won't Do"
7383499,A1,"Change Of The Guard"
7383499,A2,"Isabelle "
7383499,A3,"Final Thought"
7383499,B1,"The Next Step"
7383499,B2,"Askim"
7383499,C1,"The Rhythm Changes"
7383499,C2,"Leroy And Lanisha"
7383499,C3,"Re Run"
7383499,D1,"Miss Understanding"
7383499,D2,"Henrietta Our Hero"
7383499,D3,"Seven Prayers"
7383499,D4,"Cherokee"
7383499,E1,"The Magnificent 7"
7383499,E2,"Re Run Home"
7383499,F1,"Malcolm's Theme"
7383499,F2,"Clair De Lune"
7383499,F3,"The Message"
1436340,A1,"Come Together"
1436340,A2,"Something"
1436340,A3,"Maxwell's Silver Hammer"
1436340,A4,"Oh! Darling"
1436340,A5,"Octopus's Garden"
1436340,A6,"I Want You (She's So Heavy)"
1436340,B1,"Here Comes The Sun"
1436340,B2,"Because"
1436340,B3,"You Never Give Me Your Money"
1436340,B4,"Sun King"
1436340,B5,"Mean Mr. Mustard"
1436340,B6,"Polythene Pam"
1436340,B7,"She Came In Through The Bathroom Window"
1436340,B8,"Golden Slumbers"
1436340,B9,"Carry That Weight"
1436340,B10,"The End"
1436340,B11,"Her Majesty"
464292,A1,"Magical Mystery Tour"
464292,A2,"The Fool On The Hill"
464292,A3,"Flying"
464292,A4,"Blue Jay Way"
464292,A5,"Your Mother Should Know"
464292,A6,"I Am The Walrus"
464292,B1,"Hello Goodbye"
464292,B2,"Strawberry Fields Forever"
464292,B3,"Penny Lane"
464292,B4,"Baby You're A Rich Man"
464292,B5,"All You Need Is Love"
3964901,A1,"Cooking Up Something Good"
3964901,A2,"Dreamin'"
3964901,A3,"Freaking Out The Neighborhood"
3964901,A4,"Annie"
3964901,A5,"Ode To Viceroy"
3964901,B1,"Robson Girl"
3964901,B2,"The Stars Keep On Calling My Name"
3964901,B3,"My Kind Of Woman"
3964901,B4,"Boe Zaah"
3964901,B5,"Sherrill"
3964901,B6,"Still Together"
5552990,A1,"Salad Days"
5552990,A2,"Blue Boy"
5552990,A3,"Brother"
5552990,A4,"Let Her Go"
5552990,A5,"Goodbye Weekend"
5552990,A6,"Let My Baby Stay"
5552990,B1,"Passing Out Pieces"
5552990,B2,"Treat Her Better"
5552990,B3,"Chamber Of Reflection"
5552990,B4,"Go Easy"
5552990,B5,"Jonny's Odyssey"
10266956,A1,"My Old Man"
10266956,A2,"This Old Dog"
10266956,A3,"Baby You're Out"
10266956,A4,"For The First Time"
10266956,A5,"One Another"
10266956,A6,"Still Beating"
10266956,A7,"Sister"
10266956,B1,"Dreams From Yesterday"
10266956,B2,"A Wolf Who Wears Sheeps Clothes"
10266956,B3,"One More Love Song"
10266956,B4,"On The Level"
10266956,B5,"Moonlight On The River"
10266956,B6,"Watching Him Fade Away"
7287041,A1,"The Way You'd Love Her"
7287041,A2,"Another One"
7287041,A3,"No Other Heart"
7287041,A4,"Just To Put Me Down?"
7287041,B1,"A Heart Like Hers"
7287041,B2,"I've Been Waiting For Her"
7287041,B3,"Without Me"
7287041,B4,"My House By The Water"
7287041,C1,"The Way You'd Love Her Instrumental"
7287041,C2,"Another (Instrumental) One"
7287041,C3,"No Other Instrumental Heart"
7287041,C4,"Just To Put Me Down Instrumental?"
7287041,D1,"A (Instrumental) Heart Like Hers"
7287041,D2,"I've Been Waiting For Her Instrumental"
7287041,D3,"Instrumental Without Me"
7287041,D4,"My Instrumental House By The Water"
5761789,A1,"Dr. Jekyll"
5761789,A2,"Sid's Ahead"
5761789,A3,"Two Bass Hit"
5761789,B1,"Milestones"
5761789,B2,"Billy Boy"
5761789,B3,"Straight, No Chaser"
5166551,A1,"So What"
5166551,A2,"Freddie Freeloader"
5166551,A3,"Blue In Green"
5166551,B1,"All Blues"
5166551,B2,"Flamenco Sketches"
6913263,A1,"Everyday Was"
6913263,A2,"What It's Worth"
6913263,A3,"Leave The Bones Behind"
6913263,B1,"Quarter Water"
6913263,B2,"Hell Below"
6913263,B3,"Detroit's New Dance Show"
6913263,C1,"Story And Her"
6913263,C2,"All Mighty"
6913263,C3,"Scum"
6913263,D1,"Gold Piece"
6913263,D2,"Grey For Summer"
6913263,D3,"Up & Out"
1136710,A1,"Listen To Me"
1136710,A2,"Mama Get Yourself Together"
1136710,A3,"A Change Is Going To Come"
1136710,B1,"Mighty Mighty"
1136710,B2,"Hard Times"
1136710,B3,"California Dreamin'"
1136710,B4,"Running"
1136710,B5,"One Dragon Two Dragon"
1924326,A1,"Little Child Runnin Wild"
1924326,A2,"Pusherman"
1924326,A3,"Freddie's Dead"
1924326,A4,"Junkie Chase (Instrumental)"
1924326,B1,"Give Me Your Love (Love Song)"
1924326,B2,"Eddie You Should Know Better"
1924326,B3,"No Thing On Me (Cocaine Song)"
1924326,B4,"Think (Instrumental)"
