time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-04T07:34:13.200Z,15.081,-94.0265,39.52,4.8,mb,,146,2.322,1.13,us,us2000b0vg,2017-10-04T07:47:54.040Z,"101km SSW of Tres Picos, Mexico",earthquake,8.9,7.8,0.032,303,reviewed,us,us
2017-10-04T05:08:57.820Z,18.3756,145.7448,172.11,4.7,mb,,80,4.833,0.78,us,us2000b0ue,2017-10-04T05:37:03.040Z,"29km N of Pagan, Northern Mariana Islands",earthquake,8.8,6.5,0.061,81,reviewed,us,us
2017-10-04T03:22:31.060Z,-31.5827,-178.1517,35.55,5,mb,,109,16.681,0.99,us,us2000b0th,2017-10-04T03:53:04.040Z,"72km ESE of L'Esperance Rock, New Zealand",earthquake,12.4,6,0.123,21,reviewed,us,us
2017-10-04T03:02:08.100Z,-23.1056,-68.1988,126.96,5.2,mb,,52,0.154,1,us,us2000b0t5,2017-10-04T11:41:38.339Z,"21km S of San Pedro de Atacama, Chile",earthquake,7.7,6.7,0.288,4,reviewed,us,us
2017-10-03T20:39:05.340Z,13.4252,-49.4059,10,5.8,mb,,31,8.858,1.17,us,us2000b0nr,2017-10-03T22:41:50.626Z,"North Atlantic Ocean",earthquake,7.1,1.8,0.021,821,reviewed,us,us
2017-10-03T20:11:50.750Z,55.3531,166.6853,28.29,4.5,mb,,125,5.263,0.74,us,us2000b0n8,2017-10-03T21:31:04.040Z,"47km ENE of Nikol'skoye, Russia",earthquake,11.7,6.2,0.064,71,reviewed,us,us
2017-10-03T19:04:26.170Z,-55.2449,-28.7549,10,5.2,mb,,55,4.581,0.47,us,us2000b0lw,2017-10-03T19:22:51.040Z,"188km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.2,1.9,0.065,77,reviewed,us,us
2017-10-03T17:03:11.000Z,-2.5625,140.1126,21.57,4.6,mb,,102,7.862,0.58,us,us2000b0jm,2017-10-04T14:42:34.040Z,"52km W of Abepura, Indonesia",earthquake,10,5.6,0.073,56,reviewed,us,us
2017-10-03T14:19:43.740Z,-39.6706,175.9616,78.62,4.6,mb,,126,0.65,1.26,us,us2000b0gr,2017-10-03T15:14:43.040Z,"32km SE of Waiouru, New Zealand",earthquake,7.3,10.8,0.172,10,reviewed,us,us
2017-10-03T13:48:34.350Z,25.0488,94.7848,74.86,4.5,mb,,72,0.927,0.81,us,us2000b0gm,2017-10-03T15:01:03.040Z,"74km SSE of Phek, India",earthquake,6.3,7.4,0.09,36,reviewed,us,us
2017-10-03T05:30:33.680Z,15.4089,-93.9398,62.32,4.9,mb,,177,2.341,1.38,us,us2000b0ef,2017-10-03T05:46:56.040Z,"66km SW of Tres Picos, Mexico",earthquake,10.3,8.3,0.031,336,reviewed,us,us
2017-10-02T23:31:42.520Z,12.8533,91.9221,27.39,4.7,mb,,87,1.436,1.01,us,us2000az70,2017-10-02T23:58:51.040Z,"154km NW of Bamboo Flat, India",earthquake,8,4.9,0.075,53,reviewed,us,us
2017-10-02T21:37:57.150Z,-19.4817,167.7345,10,5.3,mb,,94,1.369,0.78,us,us2000aya0,2017-10-03T22:35:57.040Z,"160km W of Isangel, Vanuatu",earthquake,9.2,1.9,0.049,141,reviewed,us,us
2017-10-02T18:46:35.010Z,-7.056,102.3915,10,4.6,mb,,86,4.686,1.08,us,us2000axxi,2017-10-02T19:47:05.040Z,"263km SW of Biha, Indonesia",earthquake,6.5,1.8,0.097,32,reviewed,us,us
2017-10-02T14:08:10.020Z,2.6798,127.1289,25.66,4.7,mb,,113,1.91,0.65,us,us2000axtv,2017-10-02T14:48:31.040Z,"143km NW of Tobelo, Indonesia",earthquake,4.2,5.6,0.085,42,reviewed,us,us
