time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-20T19:57:37.990Z,35.6538,50.9494,10,4.9,mb,,57,4.463,1.35,us,us1000btwi,2017-12-21T14:38:04.357Z,"2km WSW of Malard, Iran",earthquake,5.3,1.9,0.059,90,reviewed,us,us
2017-12-15T16:47:56.930Z,-7.7343,108.023,91.86,6.5,mww,,84,2.483,0.94,us,us2000c4v8,2017-12-18T05:50:01.378Z,"0km ESE of Cipatujah, Indonesia",earthquake,8.5,6.6,0.053,34,reviewed,us,us
2017-12-14T01:24:26.830Z,45.0353333,-122.5993333,17.37,3.96,ml,53,40,0.1769,0.19,uw,uw61335997,2017-12-20T20:49:51.937Z,"12km S of Molalla, Oregon",earthquake,0.22,0.82,0.21,28,reviewed,uw,uw
2017-12-13T18:03:42.790Z,-54.2156,2.1483,10,6.5,mww,,23,19.84,0.99,us,us2000c3y6,2017-12-13T22:58:07.166Z,"82km WNW of Bouvet Island, Bouvet Island",earthquake,10.3,1.7,0.041,57,reviewed,us,us
2017-12-08T09:51:10.300Z,10.009,140.1315,20.27,6.4,mww,,38,5.845,1.14,us,us2000c1zn,2017-12-20T00:30:55.666Z,"50km WNW of Fais, Micronesia",earthquake,7.6,3.3,0.073,18,reviewed,us,us
2017-12-08T00:22:54.200Z,10.1164,140.2197,12.79,6.4,mww,,13,5.711,0.76,us,us2000c1wt,2017-12-10T00:42:15.648Z,"50km NW of Fais, Micronesia",earthquake,2.1,2.8,0.041,58,reviewed,us,us
2017-12-07T00:33:15.330Z,33.1478333,-116.4791667,11.14,3.96,mw,137,16,0.1197,0.21,ci,ci37824087,2017-12-20T17:58:59.184Z,"14km NE of Julian, CA",earthquake,0.11,0.31,,5,reviewed,ci,ci
2017-12-05T04:26:38.330Z,36.3731,-97.1491,3.3,4.2,mwr,,51,0.126,0.26,us,us1000bm9m,2017-12-17T07:00:22.061Z,"15km NE of Perry, Oklahoma",earthquake,0.8,5.5,0.038,67,reviewed,us,us
2017-12-03T11:19:05.260Z,-0.4895,-80.3107,16,6.2,mww,,47,1.752,1.15,us,us1000bkjh,2017-12-19T18:15:55.572Z,"16km NE of Bahia de Caraquez, Ecuador",earthquake,5.6,1.7,0.053,34,reviewed,us,us
2017-12-01T02:32:46.010Z,30.7431,57.3138,9,6.1,mww,,23,5.524,0.88,us,us1000bjnz,2017-12-17T09:46:49.398Z,"55km NNE of Kerman, Iran",earthquake,4.1,1.7,0.06,27,reviewed,us,us
2017-11-30T21:47:31.250Z,39.1977,-75.4325,9.87,4.1,mwr,,129,0.633,1.29,us,us1000bjkn,2017-12-20T14:48:02.411Z,"9km ENE of Dover, Delaware",earthquake,2.4,4.5,0.031,100,reviewed,ld,us
2017-11-30T06:32:50.770Z,-1.105,-23.4193,10,6.5,mww,,26,11.29,0.64,us,us1000bj7t,2017-11-30T22:13:13.660Z,"Central Mid-Atlantic Ridge",earthquake,9.2,1.8,0.041,58,reviewed,us,us
2017-11-27T22:18:30.467Z,60.5552,-147.4303,16.6,5.3,ml,,,,0.86,ak,ak17394411,2017-12-07T08:58:26.824Z,"72km ESE of Whittier, Alaska",earthquake,,0.3,,,reviewed,ak,ak
