1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
3,AL,Alabama,1,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,"48,702",55.55%,,,"196,374",97.86%,,,,,W,
8,AL,Alabama,1,n/a,,,Scattered,Scattered,,W,,,,,"4,302",2.14%,,,,,,
11,AL,Alabama,2,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,Unopposed,,,,"180,591",63.60%,,,,,W,
12,AL,Alabama,2,H2AL02141,,Therese,Ford,"Ford, Therese",,D,Unopposed,,,,"103,092",36.31%,,,,,,
13,AL,Alabama,2,n/a,,,Scattered,Scattered,,W,,,,,270,0.10%,,,,,,
16,AL,Alabama,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,"175,306",64.00%,,,,,W,
17,AL,Alabama,3,H2AL03099,,John Andrew,Harris,"Harris, John Andrew",,D,Unopposed,,,,"98,141",35.83%,,,,,,
18,AL,Alabama,3,n/a,,,Scattered,Scattered,,W,,,,,483,0.18%,,,,,,
21,AL,Alabama,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"199,071",73.97%,,,,,W,
22,AL,Alabama,4,H2AL04055,,Daniel H.,Boman,"Boman, Daniel H.",,D,"10,971",51.45%,,,"69,706",25.90%,,,,,,
25,AL,Alabama,4,n/a,,,Scattered,Scattered,,W,,,,,341,0.13%,,,,,,
28,AL,Alabama,5,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,"65,163",70.94%,,,"189,185",64.95%,,,,,W,
31,AL,Alabama,5,H2AL05094,,Charlie L.,Holley,"Holley, Charlie L.",,D,Unopposed,,,,"101,772",34.94%,,,,,,
32,AL,Alabama,5,n/a,,,Scattered,Scattered,,W,,,,,336,0.12%,,,,,,
35,AL,Alabama,6,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,R,"63,360",61.45%,,,"219,262",71.17%,,,,,W,
41,AL,Alabama,6,H2AL06142,,"Penny ""Colonel""",Bailey,"Bailey, Penny ""Colonel""",,D,"5,061",61.05%,,,"88,267",28.65%,,,,,,
44,AL,Alabama,6,n/a,,,Scattered,Scattered,,W,,,,,573,0.19%,,,,,,
47,AL,Alabama,7,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,Unopposed,,,,"232,520",75.85%,,,,,W,
48,AL,Alabama,7,H0AL07177,,Don,Chamberlain,"Chamberlain, Don",,R,"11,537",66.10%,,,"73,835",24.09%,,,,,,
51,AL,Alabama,7,n/a,,,Scattered,Scattered,,W,,,,,203,0.07%,,,,,,
56,AK,Alaska,0,H6AK00045,(I),Don,Young,"Young, Don",,R,"58,789",78.59%,,,"185,296",63.94%,,,,,W,
60,AK,Alaska,0,H2AK00119,,Sharon M.,Cissna,"Cissna, Sharon M.",,D,"16,329",50.32%,,,"82,927",28.61%,,,,,,
